INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Elin', 'Arvidsson', '6772@example.com', '+46713014421');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Harry', 'Parkstad', '3823@example.com', '+46755407877');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Arne', 'Björk', '8114@example.com', '+46715469323');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Irene', 'Ångström', '8736@example.com', '+46714681585');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Allan', 'Ståhl', '7489@example.com', '+46794422034');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Anton', 'Lagerlöf', '2466@example.com', '+46721735866');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ingrid', 'Rydkvist', '5227@example.com', '+46778708979');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Emma', 'Ljungberg', '1732@example.com', '+46785519479');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Christina', 'Cronström', '2026@example.com', '+46760497974');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Maj', 'Widforss', '7182@example.com', '+46766262428');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Kjell', 'Helenius', '4705@example.com', '+46758763086');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Thomas', 'Gunnarsson', '5423@example.com', '+46741974031');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Michael', 'Sirén', '7678@example.com', '+46746214088');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Tommy', 'Hjelmqvist', '7001@example.com', '+46714970319');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Björn', 'Wahlström', '8804@example.com', '+46787949779');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Amanda', 'Sandelin', '2020@example.com', '+46749073630');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Yvonne', 'Carlsson', '1953@example.com', '+46714675329');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Magnus', 'Bolund', '5057@example.com', '+46753299001');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Therese', 'Rangström', '5704@example.com', '+46794943280');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Thomas', 'Spjuth', '3857@example.com', '+46773003771');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Hans', 'Nordström', '9901@example.com', '+46799677409');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Sebastian', 'Ivarsson', '8734@example.com', '+46700937648');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Malin', 'Sandell', '3539@example.com', '+46734233183');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Emanuel', 'Sjöblom', '5460@example.com', '+46783004202');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Bo', 'Ribbing', '4565@example.com', '+46755427440');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ingegerd', 'Lind', '2798@example.com', '+46723581131');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Bengt', 'Nobelius', '6160@example.com', '+46767299221');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Barbro', 'Åkerman', '6028@example.com', '+46713450126');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Torsten', 'Nilsson', '2860@example.com', '+46758162274');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ingegerd', 'Lundh', '5743@example.com', '+46790097857');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Emil', 'Widforss', '8435@example.com', '+46736983449');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Marcus', 'Ros', '7577@example.com', '+46733808374');
