INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Martin', 'Jacobsson', '8936@example.com', '+46717166691');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Åsa', 'Bergstrand', '8108@example.com', '+46761903846');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ulrika', 'Rådström', '9856@example.com', '+46734520811');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Inga', 'Sjögren', '7254@example.com', '+46749124771');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Alexander', 'Forsberg', '7183@example.com', '+46750370992');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Mattias', 'Nobel', '5712@example.com', '+46730067967');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Caroline', 'Strömberg', '3736@example.com', '+46748574839');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Anna', 'Strömberg', '6673@example.com', '+46771060920');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Astrid', 'Person', '9597@example.com', '+46761655659');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Vilhelm', 'Ljungqvist', '5397@example.com', '+46719574862');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Jan', 'Åslund', '9587@example.com', '+46789145612');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Susanne', 'Åström', '9590@example.com', '+46798365012');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Emil', 'Bergström', '8466@example.com', '+46764753412');
