INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Kent', 'Helin', '2186@example.com', '+46782713578');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('John', 'Granestrand', '2005@example.com', '+46744458027');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Birgit', 'Sjökvist', '9451@example.com', '+46799277006');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Siv', 'Svinhufvud', '1744@example.com', '+46797280739');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Kent', 'Lenné', '4894@example.com', '+46748489395');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Bertil', 'Josefsson', '6838@example.com', '+46707739618');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ingegärd', 'Rydbäck', '2154@example.com', '+46720295829');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Anita', 'Nobel', '9969@example.com', '+46774085790');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Eva', 'Holmquist', '4925@example.com', '+46772475277');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Greta', 'Nylund', '7376@example.com', '+46733221217');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Bengt', 'Matsson', '4239@example.com', '+46741059580');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Martin', 'Berglund', '9862@example.com', '+46799317676');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Kjell', 'Backman', '7646@example.com', '+46753787124');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Martin', 'Tungel', '7549@example.com', '+46731409387');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('David', 'Granestrand', '1779@example.com', '+46784181521');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ester', 'Brovall', '8922@example.com', '+46761586780');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Sten', 'Matsson', '8193@example.com', '+46726922067');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Alice', 'Alfvén', '2607@example.com', '+46787691404');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Viola', 'Dahlström', '5378@example.com', '+46735469076');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Håkan', 'Hyltenstam', '5326@example.com', '+46722244755');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Matilda', 'Adamsberg', '5083@example.com', '+46795642949');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Arne', 'Rydqvist', '9324@example.com', '+46726961373');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Yvonne', 'Fransson', '4782@example.com', '+46798503082');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Christian', 'Hulth', '3289@example.com', '+46769519355');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Axel', 'Nyberg', '5484@example.com', '+46769720710');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Rut', 'Pehrsson', '5325@example.com', '+46742440764');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Gunvor', 'Magnusson', '4028@example.com', '+46751487843');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ingegärd', 'Rothschild', '8512@example.com', '+46735019945');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Birgitta', 'Rydbäck', '4709@example.com', '+46743208397');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ingegärd', 'Strid', '5180@example.com', '+46786944971');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Bror', 'Bäckström', '9194@example.com', '+46715279488');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Folke', 'Kvisth', '2342@example.com', '+46759679131');
