INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Martin', 'Jansson', '2240@example.com', '+46744972152');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Lena', 'Lindén', '2505@example.com', '+46758954697');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('David', 'Tvilling', '7735@example.com', '+46741672268');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Emanuel', 'Söder', '5927@example.com', '+46770228792');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Kerstin', 'Hansson', '1470@example.com', '+46762221537');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Irene', 'Forssell', '8348@example.com', '+46727503466');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ulrika', 'Söderström', '1608@example.com', '+46714935971');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Märta', 'Jakobsson', '6958@example.com', '+46782049223');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Elisabeth', 'Pehrsson', '2248@example.com', '+46728348363');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Rune', 'Lindfors', '4079@example.com', '+46772272830');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Anette', 'Sundström', '7372@example.com', '+46727692845');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Malin', 'Holmström', '6268@example.com', '+46756949304');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Sten', 'Linnaeus', '1439@example.com', '+46732539426');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Birger', 'Malmquist', '2864@example.com', '+46756571782');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Gunborg', 'Kjellström', '9461@example.com', '+46703461766');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ulf', 'Rothschild', '9381@example.com', '+46753873454');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Edit', 'Linné', '2678@example.com', '+46767980834');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Robert', 'Nyman', '4831@example.com', '+46735019122');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Anton', 'Hedlund', '9877@example.com', '+46785404189');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Simon', 'Hedlund', '9488@example.com', '+46727923089');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Sofia', 'Råberg', '6556@example.com', '+46726895948');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Harry', 'Sjöblom', '8138@example.com', '+46727262943');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Agneta', 'Ekström', '2994@example.com', '+46721437680');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Thomas', 'Jonasson', '9101@example.com', '+46730658423');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Hanna', 'Eliasson', '2399@example.com', '+46790404294');
