INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Elisabeth', 'Frisk', '7347@example.com', '+46775555632');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Sten', 'Bäckström', '1876@example.com', '+46711343632');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Johannes', 'Qvist', '4115@example.com', '+46787571875');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Signe', 'Strid', '4518@example.com', '+46760206817');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Oskar', 'Ros', '1071@example.com', '+46722484162');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Louise', 'Åkerlund', '5522@example.com', '+46710343217');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Gustav', 'Hammarskjöld', '8327@example.com', '+46749713668');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Michael', 'Friman', '1499@example.com', '+46781404619');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Kurt', 'Grafström', '1695@example.com', '+46701620197');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Christina', 'Tungel', '6475@example.com', '+46786432306');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ida', 'Birgersson', '7477@example.com', '+46745520292');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Gunvor', 'Forssell', '6575@example.com', '+46776151240');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Arvid', 'Sievert', '1045@example.com', '+46774484882');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Märta', 'Dahlström', '1311@example.com', '+46744054319');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Astrid', 'Jonsson', '1789@example.com', '+46786166777');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Elisabet', 'Hedenskog', '4663@example.com', '+46700233452');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Sten', 'Andreasson', '3140@example.com', '+46783027127');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Cecilia', 'Danielsson', '5671@example.com', '+46704322331');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Linnea', 'Lagerkvist', '6720@example.com', '+46740217821');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('William', 'Quist', '3903@example.com', '+46762094041');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Christina', 'Ericsson', '2656@example.com', '+46781782801');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Valdemar', 'Kindstrand', '3458@example.com', '+46703285246');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Stig', 'Hulth', '6412@example.com', '+46763735984');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Margareta', 'Birgersson', '3389@example.com', '+46764874208');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Lisa', 'Sundkvist', '7675@example.com', '+46786248357');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Astrid', 'Ivarsson', '9124@example.com', '+46710483721');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Martin', 'Lindroos', '2020@example.com', '+46707145456');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Bengt', 'Åhlström', '6056@example.com', '+46725396504');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Sonja', 'Bergström', '4845@example.com', '+46757074506');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Robert', 'Jakobsson', '8205@example.com', '+46729830551');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Thomas', 'Sandberg', '3202@example.com', '+46775529512');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Linnea', 'Blomstrand', '8940@example.com', '+46730522132');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Rut', 'Wallin', '3841@example.com', '+46741367919');
