INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Johan', 'Spångberg', '8682@example.com', '+46775822365');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ivar', 'Holmström', '1417@example.com', '+46741434319');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Folke', 'Rudbeck', '8442@example.com', '+46785399521');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Marcus', 'Östman', '5014@example.com', '+46780023482');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Roger', 'Åkerström', '1595@example.com', '+46739051256');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Eva', 'Åström', '9346@example.com', '+46780944800');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Agneta', 'Linné', '4724@example.com', '+46724374972');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Valdemar', 'Jonasson', '3804@example.com', '+46751179059');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Birgit', 'Holmberg', '7085@example.com', '+46723973619');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ester', 'Svanstedt', '3220@example.com', '+46723619792');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Torsten', 'Bengtsson', '7020@example.com', '+46763650143');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ivar', 'Södergren', '3135@example.com', '+46747922154');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Annika', 'Nordqvist', '8069@example.com', '+46713690236');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Per', 'Palmqvist', '6437@example.com', '+46729491134');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Per', 'Rydkvist', '5117@example.com', '+46763603566');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Mikael', 'Håkansson', '9967@example.com', '+46757012808');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Arvid', 'Börjeson', '9660@example.com', '+46701828401');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Patrik', 'Larsson', '3357@example.com', '+46774902005');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Rolf', 'Mattsson', '8261@example.com', '+46797241511');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Susanne', 'Rosengren', '6472@example.com', '+46730726486');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ingegärd', 'Österberg', '4249@example.com', '+46779406845');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Bo', 'Wickman', '5523@example.com', '+46773754733');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Daniel', 'Söder', '1770@example.com', '+46724225373');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Niklas', 'Berggren', '8254@example.com', '+46769736317');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Robert', 'Dahlström', '7840@example.com', '+46727498069');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Nils', 'Eriksson', '6786@example.com', '+46731949885');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Tobias', 'Sjöqvist', '8397@example.com', '+46743349200');
