INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ingrid', 'Hermansson', '7644@example.com', '+46733289457');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Arne', 'Lindgren', '4539@example.com', '+46753279948');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Matilda', 'Österberg', '6227@example.com', '+46742525335');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Gunvor', 'Sjöberg', '5354@example.com', '+46799960773');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Yvonne', 'Nylund', '4725@example.com', '+46749980477');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ingegärd', 'Hermansson', '1797@example.com', '+46744507267');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ingeborg', 'Bergman', '9214@example.com', '+46731913537');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Eric', 'Hansson', '1982@example.com', '+46703219650');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Henrik', 'Dahl', '4201@example.com', '+46776834320');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Maria', 'Åström', '3147@example.com', '+46777265527');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Thomas', 'Gustavsson', '7376@example.com', '+46734037372');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Valdemar', 'Rydstedt', '1438@example.com', '+46715388237');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Emil', 'Pourmokhtari', '1013@example.com', '+46776898335');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ester', 'Ericsson', '2721@example.com', '+46791840880');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Stefan', 'Palmquist', '3503@example.com', '+46741996298');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Mattias', 'Ivarsson', '7087@example.com', '+46745986189');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Knut', 'Wahlström', '3211@example.com', '+46762123830');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Einar', 'Lindström', '4804@example.com', '+46721153727');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ernst', 'Björkman', '6261@example.com', '+46713604163');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Olof', 'Fransson', '7624@example.com', '+46742664170');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Emil', 'Rydqvist', '6849@example.com', '+46736893840');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Johannes', 'Bengtsson', '8158@example.com', '+46710508717');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Roland', 'Westman', '7965@example.com', '+46761845408');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Lena', 'Sandberg', '3290@example.com', '+46789509889');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Torsten', 'Tungelfelt', '8335@example.com', '+46738542153');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Elsa', 'Jönsson', '3358@example.com', '+46783401269');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ragnar', 'Ström', '7913@example.com', '+46722645145');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Nils', 'Adamsberg', '9040@example.com', '+46743061290');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Lisa', 'Larsson', '6914@example.com', '+46776060244');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Andreas', 'Axelsson', '6717@example.com', '+46751505685');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Mikael', 'Ångström', '8791@example.com', '+46716482893');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Kristina', 'Pourmokhtari', '1672@example.com', '+46746016637');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Agneta', 'Engberg', '5967@example.com', '+46701383910');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Alice', 'Roos', '7805@example.com', '+46774078223');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Svea', 'Qvist', '2249@example.com', '+46713269960');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('William', 'Bergqvist', '9022@example.com', '+46724569895');
